# ID, Label, Sum, Omnivariance, Eigenentropy, Linearity, Planarity, Sphericity, Anisotropy,Relative Height, Area Bounding Box, Area Oriented Bounding Box, Aspect Ratio, Density m2,Density m3, Area Convex Hull, Shape Index , Distance Z, Distance XY
 111.00000,   1.00000,   2.41678,   0.31063,   0.43707,   0.84568,   0.13190,   0.02242,   0.97758,   1.12000,  11.81399,  11.89436,   2.42370,  31.02310,  27.69920,  10.33004,   0.78798,   0.15748,   0.09915
 112.00000,   1.00000,   2.29606,   0.31431,   0.42296,   0.87537,   0.09279,   0.03183,   0.96817,   1.56000,   9.56906,   9.43255,   2.77472,  17.81067,  11.41709,   8.30412,   0.67414,   0.34685,   0.13713
 113.00000,   1.00000,   1.90599,   0.27133,   0.49540,   0.80134,   0.17194,   0.02672,   0.97328,   1.00000,  11.56802,  11.17790,   2.11656,  26.21243,  26.21243,   9.62433,   0.77411,   0.17573,   0.15920
 114.00000,   1.00000,   3.08765,   0.43457,   0.45548,   0.84687,   0.12296,   0.03017,   0.96983,   1.33000,  15.96185,  15.79554,   2.19070,  26.27324,  19.75432,  13.89010,   0.91070,   0.20929,   0.03522
 115.00000,   1.00000,   1.92673,   0.31073,   0.50497,   0.83113,   0.12451,   0.04436,   0.95564,   1.38000,   8.63847,   8.63847,   2.27179,  32.87618,  23.82334,   8.17458,   0.68136,   0.19827,   0.08819
 116.00000,   1.00000,   1.36582,   0.26068,   0.59646,   0.77518,   0.15821,   0.06661,   0.93339,   1.43000,   6.76143,   6.14254,   1.99707,  39.39737,  27.55060,   5.60289,   0.59631,  -0.11446,   0.04332
 117.00000,   1.00000,   2.14377,   0.28501,   0.44385,   0.84566,   0.12937,   0.02497,   0.97503,   1.09000,  10.39442,  10.10246,   2.33652,  29.29980,  26.88054,   8.62659,   0.70625,   0.15990,   0.08398
 118.00000,   1.00000,   1.92544,   0.29537,   0.45734,   0.87418,   0.07964,   0.04619,   0.95381,   1.27000,  12.98880,   7.84158,   2.29272,  22.06187,  17.37156,   6.61419,   0.61564,   0.18910,   0.04798
 119.00000,   1.00000,   2.18697,   0.25835,   0.39771,   0.86927,   0.11156,   0.01917,   0.98083,   1.03000,  10.07996,   9.74998,   2.61994,  16.20517,  15.73318,   8.18475,   0.67432,   0.19911,   0.16838
 120.00000,   1.00000,   1.71092,   0.19699,   0.44902,   0.81415,   0.17165,   0.01419,   0.98581,   1.10000,   8.30269,   8.31895,   2.01174,  18.75236,  17.04761,   7.13160,   0.67450,   0.15391,   0.10025
 121.00000,   1.00000,   2.08322,   0.29186,   0.45032,   0.85150,   0.11816,   0.03034,   0.96966,   1.26000,   8.39026,   8.37555,   2.53945,  18.98383,  15.06654,   7.61163,   0.64956,   0.26465,   0.11270
 122.00000,   1.00000,   2.12900,   0.34176,   0.53672,   0.78281,   0.17956,   0.03763,   0.96237,   1.69000,  10.61753,  10.12123,   1.96156,  16.40117,   9.70483,   8.59353,   0.74334,   0.34831,   0.01560
 123.00000,   1.00000,   2.31658,   0.29951,   0.42390,   0.86058,   0.11498,   0.02444,   0.97556,   1.24000,  10.47886,  10.41230,   2.39685,  28.62001,  23.08066,   8.72217,   0.71796,   0.14342,   0.04261
 124.00000,   1.00000,   3.25248,   0.50481,   0.47962,   0.84967,   0.10816,   0.04218,   0.95782,   1.59000,  14.49027,  14.19418,   2.67292,  35.15525,  22.11023,  12.87499,   0.85449,  -0.14047,   0.11077
 125.00000,   1.00000,   1.86302,   0.29997,   0.50503,   0.83033,   0.12569,   0.04398,   0.95602,   1.43000,   8.85956,   8.82888,   2.07411,  30.35491,  21.22721,   7.79772,   0.69409,   0.25526,   0.07762
 126.00000,   1.00000,   1.62869,   0.30694,   0.60705,   0.74425,   0.19619,   0.05955,   0.94045,   1.33000,   9.04794,   9.04794,   2.09136,  30.50418,  22.93547,   8.00998,   0.71071,   0.25290,   0.18944
 127.00000,   1.00000,   3.08088,   0.41228,   0.45504,   0.83478,   0.14080,   0.02442,   0.97558,   1.33000,  17.74418,  17.49561,   2.23569,  25.72074,  19.33890,  14.68989,   0.94764,   0.13927,   0.14232
 128.00000,   1.00000,   1.76901,   0.29755,   0.53039,   0.81315,   0.13891,   0.04795,   0.95205,   1.38000,   7.91699,   7.74186,   2.09486,  18.47102,  13.38479,   6.81889,   0.64698,   0.32301,   0.07066
 129.00000,   1.00000,   2.88527,   0.43191,   0.45714,   0.86448,   0.09529,   0.04023,   0.95977,   1.48000,  12.27510,  12.13642,   2.49436,  34.93618,  23.60553,  10.78225,   0.78839,   0.14554,   0.08525
 130.00000,   1.00000,   1.92541,   0.26781,   0.47405,   0.82197,   0.15162,   0.02641,   0.97359,   1.23000,  10.55992,  10.68263,   2.15543,  30.14239,  24.50601,   8.81977,   0.73987,   0.15171,   0.14664
 131.00000,   1.00000,   2.41967,   0.33366,   0.44436,   0.85395,   0.11691,   0.02914,   0.97086,   1.30000,  17.73795,  11.13254,   2.34606,  31.43936,  24.18412,   9.88334,   0.77274,   0.05289,   0.03858
 132.00000,   1.00000,   1.94823,   0.33791,   0.56670,   0.76958,   0.18320,   0.04723,   0.95277,   1.15000,  16.11938,  10.52651,   2.32845,  31.72942,  27.59080,   8.95834,   0.73332,   0.13159,   0.05915
 133.00000,   1.00000,   2.56970,   0.38989,   0.48996,   0.82782,   0.13643,   0.03576,   0.96424,   1.51000,  11.96999,  12.02315,   2.28697,  33.60184,  22.25287,  10.94272,   0.80483,   0.07230,   0.05976
 134.00000,   1.00000,   2.23451,   0.34161,   0.47238,   0.85316,   0.10608,   0.04076,   0.95924,   1.31000,  18.28650,  12.03427,   2.31350,  23.76547,  18.14157,  10.03240,   0.77443,   0.27706,   0.02805
 135.00000,   1.00000,   2.64875,   0.37810,   0.45287,   0.85388,   0.11352,   0.03260,   0.96740,   1.66000,  13.04241,  12.66120,   2.35634,  31.90852,  19.22200,  10.76440,   0.80042,   0.24047,   0.09478
 136.00000,   1.00000,   2.21562,   0.31331,   0.48224,   0.81627,   0.15639,   0.02734,   0.97266,   1.22000,  10.25889,  10.27777,   2.37685,  18.58379,  15.23262,   8.88224,   0.72375,   0.04010,   0.04023
 137.00000,   1.00000,   1.85192,   0.29323,   0.50632,   0.82159,   0.13814,   0.04027,   0.95973,   1.03000,   8.27518,   8.38565,   2.19431,  15.86043,  15.39848,   7.10742,   0.65955,   0.10154,   0.06065
 138.00000,   1.00000,   1.61224,   0.25108,   0.45780,   0.88080,   0.06845,   0.05074,   0.94926,   1.19000,   7.46545,   7.34217,   2.83848,  26.69511,  22.43287,   6.20334,   0.57449,  -0.15750,   0.01919
